slot_id,name,domain,scenario,input_schema,output_schema,allowed_operations,allowed_atom_types,required_metadata_keys,required_config_keys,blocking_missing_fields,risk_rule_ids,notes
analysis_config_slot,Analysis Config Slot,analysis,task_based,"{""type"": ""HRFModelSpecification""}","{""type"": ""BasisFunctionSet"", ""fields"": [""basis_functions"", ""temporal_support"", ""derivative_orders""]}",glm_basis_functions,basis_functions,[],[],[],[],Derived index; execution support is governed separately by OperationRegistry.
analysis_preprocessing_slot,Analysis Preprocessing Slot,analysis,general,"{""type"": ""HaemoglobinData""}","{""type"": ""HaemoglobinData"", ""fields"": [""precolored_data"", ""noise_estimate""]}",precoloring,noise_modeling,[],[],[],[],Derived index; execution support is governed separately by OperationRegistry.
analysis_slot,Analysis Slot,analysis,task_based,"{""type"": ""DesignMatrix + HaemoglobinData""}|{""type"": ""StimulusDataFrame + BasisFunctions""}","{""type"": ""DesignMatrix"", ""fields"": [""regressors"", ""column_names"", ""temporal_axis""]}|{""type"": ""GLMResults"", ""fields"": [""beta_estimates"", ""residuals"", ""r_squared"", ""confidence_intervals"", ""prediction_intervals""]}",glm_design_matrix_construction|glm_fit_with_uncertainty,design_matrix|glm,[],[],[],[],Derived index; execution support is governed separately by OperationRegistry.
assumption_check_slot,Assumption Check Slot,analysis,general,"{""type"": ""multiple_numeric_arrays""}|{""type"": ""numeric_array""}","{""type"": ""NormalityResults"", ""fields"": [""test_statistic"", ""p_value"", ""is_normal""]}|{""type"": ""VarianceTestResults"", ""fields"": [""test_statistic"", ""p_value"", ""equal_variances""]}",levene_test|normality_test,assumption_check,[],[],[],[],Derived index; execution support is governed separately by OperationRegistry.
augmentation_slot,Augmentation Slot,machine_learning,data_augmentation,"{""type"": ""HaemoglobinData + Labels""}","{""type"": ""AugmentedData"", ""fields"": [""augmented_data"", ""augmented_labels"", ""augmentation_log""]}",time_series_augmentation,augmentation,[],[],[],[],Derived index; execution support is governed separately by OperationRegistry.
bandpass_filter_slot,Bandpass Filter Slot,preprocessing,general,"{""type"": ""OpticalDensityData | HaemoglobinData""}","{""type"": ""same as input""}",bandpass_filter,bandpass_filter,[],[],[],[],Derived index; execution support is governed separately by OperationRegistry.
bayesian_slot,Bayesian Slot,analysis,general,"{""type"": ""data + hypotheses""}","{""type"": ""BayesFactorResults"", ""fields"": [""bayes_factor"", ""interpretation""]}",bayes_factor,bayesian,[],[],[],[],Derived index; execution support is governed separately by OperationRegistry.
block_average_slot,Block Average Slot,analysis,task_based,"{""type"": ""HaemoglobinData + EventsTable""}","{""type"": ""AveragedResponse"", ""fields"": [""condition_averages"", ""standard_error"", ""time_vector""]}",block_average,block_average,[],[],[],[],Derived index; execution support is governed separately by OperationRegistry.
ci_estimation_slot,Ci Estimation Slot,analysis,general,"{""type"": ""numeric_array""}","{""type"": ""BootstrapResults"", ""fields"": [""ci_lower"", ""ci_upper"", ""standard_error""]}",bootstrap_confidence_interval,bootstrap,[],[],[],[],Derived index; execution support is governed separately by OperationRegistry.
classification_slot,Classification Slot,machine_learning,general,"{""type"": ""FeatureMatrix""}","{""type"": ""ClassificationResults""}",classification,classification,[],[],[],[],Derived index; execution support is governed separately by OperationRegistry.
