atom_id,study_id,domain,scenario,operation,method_label,target_flow_slot,target_atom_type,input_schema,output_schema,parameters,parameter_status,applicable_when,not_applicable_when,required_metadata_keys,required_user_confirmations,missing_for_execution,evidence_use,evidence_refs,confidence,readiness_status,review_required,notes,method_readiness,execution_readiness,execution_scope,input_port,output_port
ATOM_data_import,builtin,data_import,general,data_import,Data Import,data_import_slot,data_import,"{""type"": ""raw_file_path""}","{""type"": ""RawData"", ""fields"": [""optical_density"", ""timestamps"", ""events""]}","{""device"": ""NIRx NIRScout"", ""wavelengths_nm"": ""760, 850"", ""sampling_rate_hz"": ""7.8"", ""channels_n"": ""32 (long) + 2 short"", ""sd_distance_mm"": ""30 (long); 8 (short)"", ""hrf_model"": ""fir""}","{""device"": ""reported"", ""wavelengths_nm"": ""reported"", ""sampling_rate_hz"": ""reported"", ""hrf_model"": ""inferred""}",{},{},[],[],,method_atom,synthesis_of_extracted_literature,medium,ready,true,Consolidated reusable atom from literature synthesis,ready,ready,run,raw_file_path,RawData
ATOM_optical_density,builtin,preprocessing,general,optical_density_conversion,Optical Density Conversion,optical_density_conversion_slot,optical_density_conversion,"{""type"": ""RawData""}","{""type"": ""OpticalDensityData""}",{},{},{},{},[],[],,method_atom,synthesis_of_extracted_literature,medium,ready,true,Consolidated reusable atom from literature synthesis,ready,ready,run,RawData,OpticalDensityData
ATOM_motion_correction,builtin,preprocessing,general,motion_correction,Motion Correction,motion_correction_slot,motion_correction,"{""type"": ""OpticalDensityData""}","{""type"": ""OpticalDensityData""}","{""method"": ""wavelet | spline | PCA | MARA | TDDR | manual"", ""domain"": ""wavelet""}","{""method"": ""candidate"", ""domain"": ""reported""}",{},{},[],[],,method_atom,synthesis_of_extracted_literature,medium,ready,true,Configurable: choose method (wavelet/spline/PCA/MARA/TDDR/manual),ready,ready,run,OpticalDensityData,OpticalDensityData
ATOM_bandpass_filter,builtin,preprocessing,general,bandpass_filter,Bandpass Filter,bandpass_filter_slot,bandpass_filter,"{""type"": ""OpticalDensityData | HaemoglobinData""}","{""type"": ""same as input""}","{""low_hz"": ""0.01-0.5 (scenario-dependent)"", ""high_hz"": ""0.1-0.7 (scenario-dependent)"", ""type"": ""N.A."", ""filter_low_hz"": ""2.0"", ""filter_high_hz"": ""15.0"", ""filter_type"": ""bandpass"", ""filter_order"": ""not_reported""}","{""low_hz"": ""candidate"", ""high_hz"": ""candidate"", ""type"": ""reported"", ""filter_low_hz"": ""inferred"", ""filter_high_hz"": ""inferred"", ""filter_type"": ""inferred"", ""filter_order"": ""inferred""}",{},{},[],[],,method_atom,synthesis_of_extracted_literature,medium,ready,true,Consolidated reusable atom from literature synthesis,ready,ready,run,OpticalDensityData | HaemoglobinData,same as input
ATOM_short_channel_regression,builtin,physiology,general,short_channel_regression,Short Channel Regression,short_channel_regression_slot,short_channel_regression,"{""type"": ""HaemoglobinData""}","{""type"": ""HaemoglobinData""}","{""short_channel_distance_mm"": ""8-15"", ""selection_method"": ""nearest_short_channel"", ""regression_type"": ""linear""}","{""short_channel_distance_mm"": ""candidate"", ""selection_method"": ""candidate"", ""regression_type"": ""candidate""}",{},{},[],[],,method_atom,synthesis_of_extracted_literature,medium,ready,true,Consolidated reusable atom from literature synthesis,ready,ready,run,HaemoglobinData,HaemoglobinData
ATOM_mbll_conversion,builtin,preprocessing,general,mbll_conversion,Mbll Conversion,mbll_conversion_slot,mbll_conversion,"{""type"": ""OpticalDensityData""}","{""type"": ""HaemoglobinData""}",{},{},{},{},[],[],,method_atom,synthesis_of_extracted_literature,medium,ready,true,Consolidated reusable atom from literature synthesis,ready,ready,run,OpticalDensityData,HaemoglobinData
ATOM_signal_qc,builtin,qc,general,signal_quality_check,Signal Quality Check,signal_quality_check_slot,signal_quality_check,"{""type"": ""OpticalDensityData | HaemoglobinData""}","{""type"": ""QualityControlledData""}",{},{},{},{},[],[],,method_atom,synthesis_of_extracted_literature,medium,ready,true,Consolidated reusable atom from literature synthesis,ready,ready,run,OpticalDensityData | HaemoglobinData,QualityControlledData
ATOM_first_level_glm,builtin,analysis,general,first_level_glm,First Level Glm,first_level_glm_slot,first_level_glm,"{""type"": ""HaemoglobinData + DesignMatrix""}","{""type"": ""GLMResults""}","{""hrf_model"": ""not_applicable"", ""nuisance_regressors"": ""not_applicable"", ""multiple_comparison"": ""not_reported"", ""drift_order"": ""not_reported""}","{""hrf_model"": ""reported"", ""nuisance_regressors"": ""reported"", ""multiple_comparison"": ""missing"", ""drift_order"": ""inferred""}",{},{},[],[],,method_atom,synthesis_of_extracted_literature,medium,ready,true,Consolidated reusable atom from literature synthesis,ready,ready,run,HaemoglobinData + DesignMatrix,GLMResults
ATOM_resting_connectivity,builtin,analysis,general,resting_connectivity,Resting Connectivity,resting_connectivity_slot,resting_connectivity,"{""type"": ""HaemoglobinData""}","{""type"": ""ConnectivityMatrix""}",{},{},{},{},[],[],,method_atom,synthesis_of_extracted_literature,medium,ready,true,Consolidated reusable atom from literature synthesis,ready,ready,run,HaemoglobinData,ConnectivityMatrix
ATOM_ml_feature_extraction,builtin,machine_learning,general,feature_extraction,Feature Extraction,feature_extraction_slot,feature_extraction,"{""type"": ""HaemoglobinData | ConnectivityMatrix""}","{""type"": ""FeatureMatrix""}",{},{},{},{},[],[],,method_atom,synthesis_of_extracted_literature,medium,ready,true,Consolidated reusable atom from literature synthesis,ready,ready,run,HaemoglobinData | ConnectivityMatrix,FeatureMatrix
